    "material_0": "初級乾金粉末",
    "material_1": "初級乾金結晶",
    "material_2": "初級乾金寶石",
    "material_3": "初級乾木粉末",
    "material_4": "初級乾木結晶",
    "material_5": "初級乾木寶石",
    "material_6": "初級乾水粉末",
    "material_7": "初級乾水結晶",
    "material_8": "初級乾水寶石",
    "material_9": "初級乾火粉末",
    "material_10": "初級乾火結晶",
    "material_11": "初級乾火寶石",
    "material_12": "初級乾土粉末",
    "material_13": "初級乾土結晶",
    "material_14": "初級乾土寶石",
    "material_15": "初級坤金粉末",
    "material_16": "初級坤金結晶",
    "material_17": "初級坤金寶石",
    "material_18": "初級坤木粉末",
    "material_19": "初級坤木結晶",
    "material_20": "初級坤木寶石",
    "material_21": "初級坤水粉末",
    "material_22": "初級坤水結晶",
    "material_23": "初級坤水寶石",
    "material_24": "初級坤火粉末",
    "material_25": "初級坤火結晶",
    "material_26": "初級坤火寶石",
    "material_27": "初級坤土粉末",
    "material_28": "初級坤土結晶",
    "material_29": "初級坤土寶石",
    "material_30": "初級震金粉末",
    "material_31": "初級震金結晶",
    "material_32": "初級震金寶石",
    "material_33": "初級震木粉末",
    "material_34": "初級震木結晶",
    "material_35": "初級震木寶石",
    "material_36": "初級震水粉末",
    "material_37": "初級震水結晶",
    "material_38": "初級震水寶石",
    "material_39": "初級震火粉末",
    "material_40": "初級震火結晶",
    "material_41": "初級震火寶石",
    "material_42": "初級震土粉末",
    "material_43": "初級震土結晶",
    "material_44": "初級震土寶石",
    "material_45": "初級巽金粉末",
    "material_46": "初級巽金結晶",
    "material_47": "初級巽金寶石",
    "material_48": "初級巽木粉末",
    "material_49": "初級巽木結晶",
    "material_50": "初級巽木寶石",
    "material_51": "初級巽水粉末",
    "material_52": "初級巽水結晶",
    "material_53": "初級巽水寶石",
    "material_54": "初級巽火粉末",
    "material_55": "初級巽火結晶",
    "material_56": "初級巽火寶石",
    "material_57": "初級巽土粉末",
    "material_58": "初級巽土結晶",
    "material_59": "初級巽土寶石",
    "material_60": "初級坎金粉末",
    "material_61": "初級坎金結晶",
    "material_62": "初級坎金寶石",
    "material_63": "初級坎木粉末",
    "material_64": "初級坎木結晶",
    "material_65": "初級坎木寶石",
    "material_66": "初級坎水粉末",
    "material_67": "初級坎水結晶",
    "material_68": "初級坎水寶石",
    "material_69": "初級坎火粉末",
    "material_70": "初級坎火結晶",
    "material_71": "初級坎火寶石",
    "material_72": "初級坎土粉末",
    "material_73": "初級坎土結晶",
    "material_74": "初級坎土寶石",
    "material_75": "初級離金粉末",
    "material_76": "初級離金結晶",
    "material_77": "初級離金寶石",
    "material_78": "初級離木粉末",
    "material_79": "初級離木結晶",
    "material_80": "初級離木寶石",
    "material_81": "初級離水粉末",
    "material_82": "初級離水結晶",
    "material_83": "初級離水寶石",
    "material_84": "初級離火粉末",
    "material_85": "初級離火結晶",
    "material_86": "初級離火寶石",
    "material_87": "初級離土粉末",
    "material_88": "初級離土結晶",
    "material_89": "初級離土寶石",
    "material_90": "初級艮金粉末",
    "material_91": "初級艮金結晶",
    "material_92": "初級艮金寶石",
    "material_93": "初級艮木粉末",
